Sample	Pond	Replicate	control	sex	sample_type	sample_type_detailed	GILLS	Sample_or_neg	DNA.conc.ng.uL	Conc_16S	Conc_18S	MinIon
P1a	1	a	FALSE	NA	Pond	Pond	FALSE	sample	426	18.5014	22.6768	FALSE
P1b	1	b	FALSE	NA	Pond	Pond	FALSE	sample	75	62.5375	29.5141	FALSE
P1c	1	c	FALSE	NA	Pond	Pond	FALSE	sample	740	17.11	8.3664	FALSE
P1d	1	d	FALSE	NA	Pond	Pond	FALSE	sample	29.8	49.4424	37.0534	FALSE
P1e	1	e	FALSE	NA	Pond	Pond	FALSE	sample	56.1	37.2957	35.7517	FALSE
P2a	2	a	FALSE	NA	Pond	Pond	FALSE	sample	5.07	27.4068	30.4502	FALSE
P2b	2	b	FALSE	NA	Pond	Pond	FALSE	sample	186	17.5134	7.188	FALSE
P2c	2	c	FALSE	NA	Pond	Pond	FALSE	sample	115	11.1658	11.625	FALSE
P2d	2	d	FALSE	NA	Pond	Pond	FALSE	sample	198	19.7211	13.1805	FALSE
P2e	2	e	FALSE	NA	Pond	Pond	FALSE	sample	185	41.0691	15.8027	FALSE
P3a	3	a	FALSE	NA	Pond	Pond	FALSE	sample	165	55.7993	38.8851	FALSE
P3b	3	b	FALSE	NA	Pond	Pond	FALSE	sample	135	50.2921	42.7131	FALSE
P3c	3	c	FALSE	NA	Pond	Pond	FALSE	sample	50	63.3193	39.8693	FALSE
P3d	3	d	FALSE	NA	Pond	Pond	FALSE	sample	53.4	56.3257	35.9167	FALSE
P3e	3	e	FALSE	NA	Pond	Pond	FALSE	sample	255	29.1171	20.0142	FALSE
P4a	4	a	FALSE	NA	Pond	Pond	FALSE	sample	116	26.9532	32.3219	FALSE
P4b	4	b	FALSE	NA	Pond	Pond	FALSE	sample	16.7	18.8087	40.893	FALSE
P4c	4	c	FALSE	NA	Pond	Pond	FALSE	sample	16.4	15.3818	40.9035	FALSE
P4d	4	d	FALSE	NA	Pond	Pond	FALSE	sample	47.2	20.8805	26.6887	FALSE
P4e	4	e	FALSE	NA	Pond	Pond	FALSE	sample	5.91	21.9893	39.7176	FALSE
P5a	5	a	FALSE	NA	Pond	Pond	FALSE	sample	31.9	13.2892	9.2311	FALSE
P5b	5	b	FALSE	NA	Pond	Pond	FALSE	sample	95.8	14.6501	7.786	FALSE
P5c	5	c	FALSE	NA	Pond	Pond	FALSE	sample	500	17.5897	10.8845	FALSE
P5d	5	d	FALSE	NA	Pond	Pond	FALSE	sample	375	6.824	11.1864	FALSE
P5e	5	e	FALSE	NA	Pond	Pond	FALSE	sample	244	18.4739	27.7151	FALSE
P6a	6	a	FALSE	NA	Pond	Pond	FALSE	sample	178	43.2573	35.9847	FALSE
P6b	6	b	FALSE	NA	Pond	Pond	FALSE	sample	31.5	59.0883	48.6836	FALSE
P6c	6	c	FALSE	NA	Pond	Pond	FALSE	sample	17.8	44.7665	45.6673	FALSE
P6d	6	d	FALSE	NA	Pond	Pond	FALSE	sample	77.6	41.9041	31.331	FALSE
P6e	6	e	FALSE	NA	Pond	Pond	FALSE	sample	99.8	45.1053	40.7635	FALSE
P7a	7	a	FALSE	NA	Pond	Pond	FALSE	sample	68.3	47.9594	32.3221	TRUE
P7b	7	b	FALSE	NA	Pond	Pond	FALSE	sample	15.8	46.1941	48.2464	FALSE
P7c	7	c	FALSE	NA	Pond	Pond	FALSE	sample	13.2	51.2248	42.3294	FALSE
P7d	7	d	FALSE	NA	Pond	Pond	FALSE	sample	106	48.7415	36.7296	TRUE
P7e	7	e	FALSE	NA	Pond	Pond	FALSE	sample	50.8	55.5621	50.3387	TRUE
I1	1	a	TRUE	NA	Incubation	Inc_before	FALSE	sample	0	31.9032	6.4096	FALSE
